DATE,PRCP,SNWD,TAVG,TMAX,TMIN
2017-10-14,0.0,,60.0,68.0,51.0
2017-10-15,0.0,,59.0,68.0,51.0
2017-10-16,0.0,,60.0,71.0,52.0
2017-10-17,0.0,,60.0,69.0,52.0
2017-10-18,0.0,,57.0,65.0,47.0
2017-10-19,0.05,,58.0,68.0,47.0
2017-10-20,0.11,,53.0,59.0,45.0
2017-10-21,0.04,,52.0,57.0,45.0
2017-10-22,0.08,,46.0,50.0,44.0
2017-10-23,0.09,,48.0,51.0,44.0
2017-10-24,0.06,,53.0,56.0,50.0
2017-10-25,0.0,,56.0,62.0,49.0
2017-10-26,0.04,,52.0,59.0,47.0
2017-10-27,0.0,,50.0,56.0,44.0
2017-10-28,0.05,,45.0,49.0,39.0
2017-10-29,0.02,,48.0,54.0,37.0
2017-10-30,0.0,,42.0,50.0,36.0
2017-10-31,0.0,,42.0,52.0,32.0
2017-11-01,0.0,,46.0,56.0,38.0
2017-11-02,0.0,,47.0,51.0,39.0
2017-11-03,0.0,,48.0,52.0,44.0
2017-11-04,0.22,,50.0,59.0,44.0
2017-11-05,0.09,,44.0,52.0,34.0
2017-11-06,0.03,,39.0,45.0,32.0
2017-11-07,0.04,,38.0,42.0,34.0
2017-11-08,0.32,,41.0,42.0,40.0
2017-11-09,0.0,,41.0,44.0,40.0
2017-11-10,0.27,,42.0,47.0,39.0
2017-11-11,0.41,,43.0,50.0,38.0
2017-11-12,0.51,,38.0,41.0,35.0
2017-11-13,0.0,,40.0,45.0,35.0
2017-11-14,0.0,,36.0,43.0,31.0
2017-11-15,0.0,,40.0,47.0,36.0
2017-11-16,0.02,,36.0,39.0,31.0
2017-11-17,0.0,,40.0,44.0,35.0
2017-11-18,0.04,,35.0,40.0,29.0
2017-11-19,0.0,,39.0,44.0,32.0
2017-11-20,0.25,,36.0,44.0,31.0
2017-11-21,0.02,,44.0,45.0,42.0
2017-11-22,0.0,,46.0,51.0,42.0
2017-11-23,0.42,,50.0,56.0,42.0
2017-11-24,0.22,,49.0,52.0,45.0
2017-11-25,0.06,,40.0,45.0,34.0
2017-11-26,0.0,,35.0,36.0,34.0
2017-11-27,0.6,,38.0,42.0,35.0
2017-11-28,0.09,,38.0,42.0,35.0
2017-11-29,0.09,,35.0,36.0,33.0
2017-11-30,0.09,,34.0,36.0,31.0
2017-12-01,0.03,1.6,31.0,33.0,29.0
2017-12-02,0.0,1.2,29.0,32.0,24.0
2017-12-03,0.0,0.8,28.0,29.0,26.0
2017-12-04,0.0,0.4,32.0,35.0,29.0
2017-12-05,0.0,,36.0,37.0,35.0
2017-12-06,0.0,,38.0,41.0,34.0
2017-12-07,0.34,,35.0,43.0,29.0
2017-12-08,0.17,0.4,34.0,43.0,29.0
2017-12-09,0.0,0.4,30.0,31.0,28.0
2017-12-10,0.47,2.0,34.0,42.0,27.0
2017-12-11,0.71,,42.0,47.0,33.0
2017-12-12,0.0,,34.0,36.0,31.0
2017-12-13,0.64,1.2,34.0,41.0,31.0
2017-12-14,0.09,0.4,37.0,40.0,35.0
2017-12-15,0.32,,35.0,37.0,32.0
2017-12-16,0.0,,35.0,38.0,32.0
2017-12-17,0.06,,32.0,34.0,30.0
2017-12-18,0.06,0.4,35.0,40.0,30.0
2017-12-19,0.14,,38.0,40.0,35.0
2017-12-20,0.02,,40.0,42.0,38.0
2017-12-21,0.09,,43.0,45.0,42.0
2017-12-22,0.0,,46.0,47.0,44.0
2017-12-23,0.0,,44.0,45.0,43.0
2017-12-24,0.01,,43.0,44.0,41.0
2017-12-25,0.0,,37.0,41.0,33.0
2017-12-26,0.22,,38.0,42.0,32.0
2017-12-27,0.12,,38.0,41.0,35.0
2017-12-28,0.0,,34.0,36.0,31.0
2017-12-29,0.35,3.5,33.0,37.0,31.0
2017-12-30,0.69,1.2,45.0,54.0,35.0
2017-12-31,0.12,,51.0,54.0,46.0
2018-01-01,0.42,,41.0,46.0,38.0
2018-01-02,0.32,,40.0,43.0,38.0
2018-01-03,0.3,,44.0,51.0,41.0
2018-01-04,0.49,,45.0,53.0,40.0
2018-01-05,0.05,,44.0,46.0,42.0
2018-01-06,0.34,,43.0,45.0,40.0
2018-01-07,0.0,,39.0,41.0,38.0
2018-01-08,0.0,,39.0,41.0,37.0
2018-01-09,0.01,,40.0,46.0,35.0
2018-01-10,0.01,,41.0,43.0,40.0
2018-01-11,0.01,,42.0,45.0,41.0
2018-01-12,0.0,,41.0,43.0,37.0
2018-01-13,0.0,,37.0,38.0,34.0
2018-01-14,0.0,,34.0,39.0,29.0
2018-01-15,0.38,,36.0,44.0,29.0
2018-01-16,0.55,,40.0,43.0,32.0
2018-01-17,0.19,0.4,35.0,38.0,32.0
2018-01-18,0.2,,41.0,49.0,33.0
2018-01-19,0.04,,36.0,38.0,33.0
2018-01-20,0.35,,33.0,35.0,32.0
2018-01-21,0.16,,34.0,38.0,32.0
2018-01-22,0.16,0.4,42.0,47.0,33.0
2018-01-23,0.09,,42.0,45.0,40.0
2018-01-24,0.05,,47.0,49.0,45.0
2018-01-25,0.86,,45.0,49.0,41.0
2018-01-26,0.0,,41.0,45.0,35.0
2018-01-27,0.0,,34.0,38.0,28.0
2018-01-28,0.02,,40.0,44.0,37.0
2018-01-29,0.02,,45.0,46.0,44.0
2018-01-30,0.15,,42.0,46.0,36.0
2018-01-31,0.44,,42.0,45.0,35.0
2018-02-01,0.04,,34.0,36.0,29.0
2018-02-02,0.03,0.4,33.0,37.0,30.0
2018-02-03,0.2,,33.0,38.0,30.0
2018-02-04,0.0,2.0,30.0,32.0,26.0
2018-02-05,0.03,1.6,31.0,36.0,27.0
2018-02-06,0.11,3.9,29.0,30.0,26.0
2018-02-07,0.0,2.0,29.0,33.0,23.0
2018-02-08,0.0,2.0,26.0,34.0,20.0
2018-02-09,0.0,1.6,26.0,30.0,21.0
2018-02-10,0.01,2.0,31.0,33.0,28.0
2018-02-11,0.05,1.2,34.0,37.0,30.0
2018-02-12,0.01,2.0,31.0,37.0,26.0
2018-02-13,0.0,0.8,29.0,36.0,24.0
2018-02-14,0.04,0.4,30.0,38.0,22.0
2018-02-15,0.08,0.4,36.0,41.0,30.0
2018-02-16,0.0,,38.0,45.0,31.0
2018-02-17,0.0,,34.0,38.0,28.0
2018-02-18,0.0,,32.0,39.0,26.0
2018-02-19,0.0,,30.0,33.0,26.0
2018-02-20,0.0,,32.0,37.0,27.0
2018-02-21,0.0,,33.0,42.0,26.0
2018-02-22,0.0,,30.0,37.0,25.0
2018-02-23,0.0,,28.0,35.0,23.0
2018-02-24,0.0,,29.0,40.0,21.0
2018-02-25,0.0,,25.0,31.0,18.0
2018-02-26,0.0,,21.0,28.0,16.0
2018-02-27,0.0,,19.0,24.0,13.0
2018-02-28,0.0,,18.0,26.0,10.0
2018-03-01,0.0,,24.0,32.0,17.0
2018-03-02,0.06,1.2,25.0,29.0,23.0
2018-03-03,0.06,0.8,29.0,35.0,24.0
2018-03-04,0.04,0.4,38.0,45.0,32.0
2018-03-05,0.0,,43.0,52.0,36.0
2018-03-06,0.0,,42.0,51.0,36.0
2018-03-07,0.09,,38.0,40.0,36.0
2018-03-08,0.18,,39.0,48.0,35.0
2018-03-09,0.21,,41.0,46.0,35.0
2018-03-10,0.03,,48.0,51.0,46.0
2018-03-11,0.03,,50.0,52.0,45.0
2018-03-12,0.08,,47.0,51.0,44.0
2018-03-13,0.03,,42.0,44.0,39.0
2018-03-14,0.0,,43.0,52.0,35.0
2018-03-15,0.24,,41.0,44.0,38.0
2018-03-16,0.06,,45.0,53.0,40.0
2018-03-17,0.0,,32.0,42.0,24.0
2018-03-18,0.0,,25.0,28.0,23.0
2018-03-19,0.0,,29.0,38.0,24.0
2018-03-20,0.0,,33.0,43.0,24.0
2018-03-21,0.0,,36.0,45.0,28.0
2018-03-22,0.11,0.4,34.0,39.0,28.0
2018-03-23,0.0,,38.0,39.0,34.0
2018-03-24,0.0,,42.0,52.0,34.0
2018-03-25,0.0,,45.0,54.0,34.0
2018-03-26,0.0,,45.0,51.0,40.0
2018-03-27,0.13,,41.0,45.0,37.0
2018-03-28,0.26,,43.0,50.0,37.0
2018-03-29,0.0,,41.0,49.0,36.0
2018-03-30,0.17,,42.0,52.0,35.0
2018-03-31,0.06,,41.0,51.0,32.0
2018-04-01,0.05,,41.0,47.0,38.0
2018-04-02,0.06,,46.0,54.0,36.0
2018-04-03,0.19,,51.0,56.0,45.0
2018-04-04,0.35,,47.0,53.0,43.0
2018-04-05,0.04,,44.0,47.0,35.0
2018-04-06,0.0,,47.0,59.0,32.0
2018-04-07,0.0,,57.0,70.0,41.0
2018-04-08,0.0,,64.0,75.0,54.0
2018-04-09,0.0,,58.0,64.0,50.0
2018-04-10,0.06,,50.0,57.0,42.0
2018-04-11,0.0,,49.0,64.0,41.0
2018-04-12,0.0,,54.0,61.0,45.0
2018-04-13,0.0,,52.0,59.0,42.0
2018-04-14,0.25,,54.0,63.0,44.0
2018-04-15,0.0,,55.0,63.0,49.0
2018-04-16,0.0,,56.0,64.0,47.0
2018-04-17,0.0,,58.0,68.0,47.0
2018-04-18,0.0,,66.0,77.0,53.0
2018-04-19,0.0,,68.0,78.0,55.0
2018-04-20,0.0,,70.0,82.0,55.0
2018-04-21,0.0,,70.0,80.0,59.0
2018-04-22,0.02,,67.0,78.0,57.0
2018-04-23,0.0,,61.0,67.0,48.0
2018-04-24,0.0,,55.0,65.0,44.0
2018-04-25,0.01,,53.0,59.0,45.0
2018-04-26,0.0,,48.0,57.0,40.0
2018-04-27,0.0,,53.0,65.0,40.0
2018-04-28,0.11,,51.0,61.0,43.0
2018-04-29,0.99,,55.0,67.0,45.0
2018-04-30,0.11,,47.0,53.0,39.0
2018-05-01,0.0,,44.0,53.0,38.0
2018-05-02,0.0,,49.0,58.0,37.0
2018-05-03,0.0,,52.0,62.0,44.0
2018-05-04,0.0,,58.0,69.0,47.0
2018-05-05,0.0,,62.0,74.0,50.0
2018-05-06,0.0,,66.0,78.0,54.0
2018-05-07,0.0,,66.0,77.0,55.0
2018-05-08,0.0,,69.0,78.0,57.0
2018-05-09,0.0,,69.0,79.0,60.0
2018-05-10,0.0,,57.0,63.0,51.0
2018-05-11,0.0,,58.0,67.0,49.0
2018-05-12,0.4,,64.0,74.0,52.0
2018-05-13,0.16,,54.0,59.0,51.0
2018-05-14,0.67,,57.0,67.0,51.0
2018-05-15,0.0,,63.0,72.0,53.0
2018-05-16,0.02,,60.0,68.0,53.0
2018-05-17,0.0,,57.0,66.0,49.0
2018-05-18,0.0,,54.0,67.0,41.0
2018-05-19,0.0,,57.0,67.0,46.0
2018-05-20,0.38,,57.0,68.0,50.0
2018-05-21,0.0,,63.0,73.0,53.0
2018-05-22,0.09,,64.0,75.0,54.0
2018-05-23,0.36,,62.0,73.0,57.0
2018-05-24,0.0,,62.0,72.0,56.0
2018-05-25,0.0,,65.0,76.0,53.0
2018-05-26,0.0,,72.0,81.0,62.0
2018-05-27,0.0,,70.0,77.0,63.0
2018-05-28,0.04,,70.0,82.0,60.0
2018-05-29,0.0,,64.0,70.0,60.0
2018-05-30,0.76,,69.0,78.0,59.0
2018-05-31,1.63,,69.0,78.0,58.0
2018-06-01,0.43,,62.0,66.0,56.0
2018-06-02,0.0,,63.0,71.0,55.0
2018-06-03,0.0,,68.0,77.0,57.0
2018-06-04,0.0,,71.0,81.0,62.0
2018-06-05,0.0,,71.0,81.0,62.0
2018-06-06,0.04,,70.0,81.0,61.0
2018-06-07,0.14,,65.0,72.0,61.0
2018-06-08,0.0,,69.0,79.0,61.0
2018-06-09,0.21,,68.0,82.0,62.0
2018-06-10,0.13,,67.0,78.0,58.0
2018-06-11,1.21,,65.0,74.0,60.0
2018-06-12,0.21,,58.0,60.0,52.0
2018-06-13,0.0,,56.0,60.0,49.0
2018-06-14,0.11,,58.0,67.0,47.0
2018-06-15,0.0,,62.0,73.0,56.0
2018-06-16,0.0,,65.0,75.0,56.0
2018-06-17,0.0,,61.0,66.0,55.0
2018-06-18,0.0,,62.0,68.0,54.0
2018-06-19,0.0,,63.0,71.0,55.0
2018-06-20,0.0,,71.0,83.0,60.0
2018-06-21,0.0,,61.0,68.0,47.0
2018-06-22,0.0,,54.0,63.0,44.0
2018-06-23,0.0,,55.0,65.0,45.0
2018-06-24,0.0,,60.0,70.0,51.0
2018-06-25,0.0,,60.0,69.0,54.0
2018-06-26,0.0,,67.0,79.0,54.0
2018-06-27,0.0,,69.0,79.0,57.0
2018-06-28,0.0,,70.0,79.0,59.0
2018-06-29,0.0,,74.0,83.0,66.0
2018-06-30,0.0,,76.0,86.0,67.0
2018-07-01,0.0,,71.0,81.0,61.0
2018-07-02,0.0,,71.0,82.0,59.0
2018-07-03,0.0,,73.0,83.0,63.0
2018-07-04,0.02,,71.0,85.0,62.0
2018-07-05,0.09,,63.0,70.0,60.0
2018-07-06,0.0,,69.0,80.0,56.0
2018-07-07,0.0,,70.0,80.0,58.0
2018-07-08,0.0,,69.0,79.0,58.0
2018-07-09,0.0,,68.0,77.0,57.0
2018-07-10,0.0,,60.0,66.0,56.0
2018-07-11,0.0,,61.0,73.0,52.0
2018-07-12,0.0,,67.0,77.0,59.0
2018-07-13,0.0,,71.0,80.0,61.0
2018-07-14,0.07,,73.0,85.0,61.0
2018-07-15,0.3,,71.0,82.0,61.0
2018-07-16,0.0,,72.0,85.0,57.0
2018-07-17,0.0,,73.0,82.0,59.0
2018-07-18,0.0,,71.0,81.0,61.0
2018-07-19,0.0,,73.0,84.0,59.0
2018-07-20,0.0,,73.0,83.0,64.0
2018-07-21,0.0,,69.0,77.0,60.0
2018-07-22,0.0,,71.0,82.0,60.0
2018-07-23,0.0,,73.0,83.0,60.0
2018-07-24,0.0,,78.0,89.0,67.0
2018-07-25,0.0,,82.0,94.0,69.0
2018-07-26,0.09,,80.0,94.0,71.0
2018-07-27,0.0,,83.0,93.0,71.0
2018-07-28,0.0,,74.0,82.0,66.0
2018-07-29,0.0,,73.0,84.0,60.0
2018-07-30,0.0,,77.0,87.0,65.0
2018-07-31,0.01,,77.0,87.0,65.0
2018-08-01,0.11,,69.0,74.0,63.0
2018-08-02,0.0,,76.0,89.0,60.0
2018-08-03,0.0,,83.0,94.0,72.0
2018-08-04,0.0,,83.0,94.0,71.0
2018-08-05,0.0,,76.0,87.0,66.0
2018-08-06,0.0,,79.0,92.0,66.0
2018-08-07,0.58,,81.0,95.0,71.0
2018-08-08,0.04,,71.0,78.0,65.0
2018-08-09,0.08,,66.0,76.0,56.0
2018-08-10,0.0,,62.0,71.0,53.0
2018-08-11,0.0,,63.0,72.0,56.0
2018-08-12,0.24,,68.0,78.0,54.0
2018-08-13,0.08,,64.0,73.0,58.0
2018-08-14,0.0,,63.0,71.0,56.0
2018-08-15,0.0,,65.0,74.0,56.0
2018-08-16,0.0,,70.0,83.0,56.0
2018-08-17,0.02,,67.0,78.0,58.0
2018-08-18,0.0,,66.0,77.0,52.0
2018-08-19,0.0,,69.0,79.0,56.0
2018-08-20,0.0,,68.0,78.0,59.0
2018-08-21,0.0,,72.0,83.0,63.0
2018-08-22,0.0,,74.0,86.0,63.0
2018-08-23,0.0,,73.0,84.0,60.0
2018-08-24,0.07,,61.0,68.0,54.0
2018-08-25,0.0,,56.0,64.0,48.0
2018-08-26,0.09,,57.0,68.0,44.0
2018-08-27,0.02,,57.0,65.0,52.0
2018-08-28,0.0,,62.0,75.0,49.0
2018-08-29,0.95,,63.0,73.0,56.0
2018-08-30,0.04,,60.0,68.0,55.0
2018-08-31,0.0,,59.0,67.0,53.0
2018-09-01,0.0,,60.0,69.0,51.0
2018-09-02,0.0,,61.0,69.0,52.0
2018-09-03,0.0,,63.0,71.0,58.0
2018-09-04,0.0,,65.0,74.0,55.0
2018-09-05,0.03,,69.0,80.0,58.0
2018-09-06,0.0,,65.0,72.0,60.0
2018-09-07,0.0,,57.0,63.0,46.0
2018-09-08,0.0,,57.0,69.0,44.0
2018-09-09,0.0,,64.0,76.0,51.0
2018-09-10,0.0,,66.0,77.0,56.0
2018-09-11,0.0,,65.0,79.0,53.0
2018-09-12,0.0,,69.0,81.0,57.0
2018-09-13,0.02,,60.0,64.0,56.0
2018-09-14,0.0,,60.0,68.0,50.0
2018-09-15,0.0,,58.0,67.0,48.0
2018-09-16,0.0,,63.0,75.0,50.0
2018-09-17,0.0,,69.0,78.0,51.0
2018-09-18,0.0,,71.0,84.0,60.0
2018-09-19,0.0,,69.0,80.0,59.0
2018-09-20,0.0,,67.0,77.0,56.0
2018-09-21,0.11,,59.0,65.0,50.0
2018-09-22,0.22,,53.0,61.0,45.0
2018-09-23,0.5,,56.0,67.0,44.0
2018-09-24,0.0,,48.0,56.0,41.0
2018-09-25,0.0,,49.0,59.0,41.0
2018-09-26,0.0,,52.0,65.0,38.0
2018-09-27,0.0,,58.0,71.0,46.0
2018-09-28,0.0,,55.0,68.0,46.0
2018-09-29,0.0,,50.0,60.0,42.0
2018-09-30,0.0,,53.0,65.0,42.0
2018-10-01,0.06,,47.0,55.0,40.0
2018-10-02,0.07,,45.0,51.0,40.0
2018-10-03,0.0,,53.0,61.0,44.0
2018-10-04,0.0,,53.0,64.0,43.0
2018-10-05,0.0,,56.0,67.0,45.0
2018-10-06,0.05,,61.0,73.0,52.0
2018-10-07,0.0,,56.0,60.0,46.0
2018-10-08,0.0,,55.0,67.0,45.0
2018-10-09,0.0,,59.0,71.0,48.0
2018-10-10,0.0,,60.0,72.0,52.0
2018-10-11,0.0,,60.0,71.0,53.0
2018-10-12,0.0,,65.0,75.0,56.0
2018-10-13,0.0,,66.0,76.0,57.0
2018-10-14,0.0,,65.0,75.0,56.0
2018-10-15,0.0,,64.0,76.0,54.0
2018-10-16,0.0,,63.0,71.0,52.0
2018-10-17,0.0,,62.0,72.0,52.0
2018-10-18,0.0,,58.0,66.0,52.0
2018-10-19,0.0,,54.0,64.0,49.0
2018-10-20,0.0,,53.0,60.0,47.0
2018-10-21,0.0,,51.0,61.0,42.0
2018-10-22,0.0,,50.0,59.0,42.0
2018-10-23,0.0,,46.0,54.0,36.0
2018-10-24,0.02,,53.0,57.0,48.0
2018-10-25,0.0,,52.0,56.0,45.0
2018-10-26,0.01,,45.0,48.0,42.0
2018-10-27,0.0,,40.0,43.0,36.0
2018-10-28,0.02,,39.0,41.0,37.0
2018-10-29,0.27,,38.0,40.0,37.0
2018-10-30,0.13,,38.0,42.0,32.0
2018-10-31,0.0,,41.0,48.0,33.0
2018-11-01,0.13,,45.0,48.0,39.0
2018-11-02,0.1,,44.0,47.0,37.0
2018-11-03,0.0,,41.0,49.0,34.0
2018-11-04,0.0,,46.0,55.0,38.0
2018-11-05,0.0,,48.0,54.0,44.0
2018-11-06,0.0,,50.0,59.0,43.0
2018-11-07,0.02,,51.0,60.0,46.0
2018-11-08,0.0,,48.0,53.0,43.0
2018-11-09,0.02,,49.0,55.0,43.0
2018-11-10,0.69,,51.0,53.0,48.0
2018-11-11,0.04,,51.0,56.0,48.0
2018-11-12,0.4,,54.0,62.0,48.0
2018-11-13,0.0,,48.0,53.0,41.0
2018-11-14,0.0,,41.0,47.0,36.0
2018-11-15,0.0,,38.0,40.0,37.0
2018-11-16,0.0,,40.0,49.0,35.0
2018-11-17,0.0,,40.0,48.0,33.0
2018-11-18,0.0,,37.0,44.0,32.0
2018-11-19,0.05,,34.0,39.0,29.0
2018-11-20,0.01,,34.0,37.0,32.0
2018-11-21,0.0,,35.0,38.0,33.0
2018-11-22,0.0,,34.0,40.0,31.0
2018-11-23,0.11,,36.0,44.0,29.0
2018-11-24,0.11,,39.0,45.0,34.0
2018-11-25,0.02,,41.0,42.0,37.0
2018-11-26,0.0,,41.0,42.0,39.0
2018-11-27,0.0,,38.0,39.0,36.0
2018-11-28,0.12,,39.0,42.0,36.0
2018-11-29,0.07,,44.0,47.0,41.0
2018-11-30,0.01,,45.0,49.0,39.0
2018-12-01,0.32,,43.0,45.0,41.0
2018-12-02,0.77,,50.0,55.0,44.0
2018-12-03,1.65,,52.0,54.0,48.0
2018-12-04,0.0,,43.0,48.0,35.0
2018-12-05,0.09,,40.0,43.0,34.0
2018-12-06,0.03,,48.0,51.0,42.0
2018-12-07,0.3,,47.0,50.0,41.0
2018-12-08,0.89,,43.0,48.0,40.0
2018-12-09,0.36,,43.0,48.0,39.0
2018-12-10,0.02,,39.0,43.0,33.0
2018-12-11,0.0,,33.0,41.0,29.0
2018-12-12,0.0,,33.0,39.0,27.0
2018-12-13,0.0,,30.0,33.0,27.0
2018-12-14,0.0,,30.0,31.0,28.0
2018-12-15,0.12,,28.0,31.0,26.0
2018-12-16,0.06,,31.0,36.0,26.0
2018-12-17,0.01,,38.0,41.0,35.0
2018-12-18,0.04,,38.0,43.0,35.0
2018-12-19,0.14,,43.0,48.0,38.0
2018-12-20,0.34,,42.0,43.0,40.0
2018-12-21,0.3,,48.0,53.0,42.0
2018-12-22,0.44,,47.0,51.0,45.0
2018-12-23,0.71,,47.0,53.0,44.0
2018-12-24,0.0,,40.0,52.0,31.0
2018-12-25,0.0,,32.0,38.0,26.0
2018-12-26,0.0,,28.0,35.0,22.0
2018-12-27,0.0,,27.0,29.0,24.0
2018-12-28,0.0,,27.0,28.0,26.0
2018-12-29,0.04,,31.0,35.0,26.0
2018-12-30,0.0,,38.0,40.0,35.0
2018-12-31,0.0,,43.0,46.0,40.0
2019-01-01,0.05,,40.0,42.0,36.0
2019-01-02,0.0,,35.0,38.0,28.0
2019-01-03,0.0,,33.0,38.0,26.0
2019-01-04,0.05,,34.0,37.0,30.0
2019-01-05,0.02,,36.0,40.0,32.0
2019-01-06,0.0,,36.0,38.0,35.0
2019-01-07,0.06,,37.0,40.0,35.0
2019-01-08,0.18,,40.0,43.0,35.0
2019-01-09,0.0,,35.0,40.0,32.0
2019-01-10,0.0,,32.0,34.0,29.0
2019-01-11,0.05,,33.0,38.0,29.0
2019-01-12,0.11,,39.0,42.0,37.0
2019-01-13,0.17,,44.0,46.0,41.0
2019-01-14,0.03,,38.0,42.0,33.0
2019-01-15,0.0,,37.0,40.0,34.0
2019-01-16,0.13,,37.0,41.0,36.0
2019-01-17,0.19,,36.0,39.0,30.0
2019-01-18,0.0,,29.0,35.0,25.0
2019-01-19,0.0,,28.0,34.0,23.0
2019-01-20,0.0,,25.0,30.0,21.0
2019-01-21,0.0,,25.0,33.0,20.0
2019-01-22,0.04,,22.0,26.0,18.0
2019-01-23,0.0,1.2,27.0,28.0,24.0
2019-01-24,0.0,,24.0,26.0,23.0
2019-01-25,0.02,,29.0,32.0,25.0
2019-01-26,0.21,,36.0,40.0,32.0
2019-01-27,0.28,,38.0,41.0,32.0
2019-01-28,0.02,,33.0,36.0,32.0
2019-01-29,0.06,,31.0,33.0,28.0
2019-01-30,0.25,,29.0,31.0,24.0
2019-01-31,0.08,,29.0,33.0,26.0
2019-02-01,0.19,,35.0,37.0,30.0
2019-02-02,0.0,,35.0,37.0,33.0
2019-02-03,0.0,,33.0,38.0,27.0
2019-02-04,0.0,,31.0,36.0,25.0
2019-02-05,0.0,,34.0,41.0,27.0
2019-02-06,0.0,,34.0,40.0,27.0
2019-02-07,0.13,,39.0,46.0,33.0
2019-02-08,0.14,,41.0,44.0,36.0
2019-02-09,0.27,,43.0,47.0,40.0
2019-02-10,0.69,,41.0,45.0,34.0
2019-02-11,0.0,,37.0,41.0,31.0
2019-02-12,0.0,,33.0,40.0,28.0
2019-02-13,0.0,,33.0,42.0,24.0
2019-02-14,0.0,,41.0,52.0,32.0
2019-02-15,0.0,,45.0,57.0,34.0
2019-02-16,0.0,,45.0,56.0,35.0
2019-02-17,0.0,,47.0,57.0,36.0
2019-02-18,0.0,,45.0,54.0,37.0
2019-02-19,0.02,,42.0,48.0,37.0
2019-02-20,0.0,,41.0,50.0,31.0
2019-02-21,0.0,,47.0,56.0,38.0
2019-02-22,0.0,,48.0,54.0,40.0
2019-02-23,0.0,,43.0,53.0,36.0
2019-02-24,0.0,,45.0,58.0,36.0
2019-02-25,0.0,,51.0,63.0,40.0
2019-02-26,0.0,,53.0,65.0,40.0
2019-02-27,0.0,,55.0,68.0,44.0
2019-02-28,0.26,,47.0,56.0,39.0
2019-03-01,0.02,,43.0,45.0,40.0
2019-03-02,0.01,,44.0,49.0,40.0
2019-03-03,0.16,,47.0,50.0,44.0
2019-03-04,0.31,,44.0,49.0,39.0
2019-03-05,0.3,,40.0,43.0,38.0
